年度	省份	学校	录取批次	文/理（选科要求）	专业	录取最低分	省内排名	本一线
2022	广东	吉林外国语大学	本科批	首选物理，再选不限	西班牙语（中外合作办学）（零起点，与西班牙卡塔赫纳理工大学合作办学项目，具体培养模式和学习费用请查看学校官网）（英语+西班牙语）（中外合作办学）	483	170861	437
2022	广东	吉林财经大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	吉林财经大学	本科批	首选物理，再选不限	税收学	546	76351	437
2022	广东	吉林财经大学	本科批	首选物理，再选不限	会计学	541	82775	437
2022	广东	吉林财经大学	本科批	首选物理，再选不限	法学	539	85470	437
2022	广东	吉林财经大学	本科批	首选物理，再选不限	应用统计学	535	91030	437
2022	广东	吉林财经大学	本科批	首选物理，再选不限	人力资源管理	534	92399	437
2022	广东	吉林财经大学	本科批	首选物理，再选不限	国际经济与贸易	532	95201	437
2022	广东	吉林财经大学	本科批	首选物理，再选不限	物流管理	529	99581	437
2022	广东	吉林财经大学	本科批	首选物理，再选不限	会计学（中外合作办学）（与澳大利亚查尔斯特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	521	111165	437
2022	广东	吉林财经大学	本科批	首选物理，再选不限	金融学（中外合作办学）（与澳大利亚查尔斯特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	513	123085	437
2022	广东		本科批	首选物理，再选不限	电子商务（中外合作办学）（与澳大利亚查尔斯特大学中外合作办学项目，具体培养模式和学习费用请查看学校网站）（中外合作办学）	510	127721	437
2022	广东		录取批次		专业名称	最低分	最低位次	437
2022	广东		-		-	-		437
2022	广东	中南财经政法大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	经济管理试验班（020307.经济与金融+120203.会计学+020109.数字经济）（南湖校区）	626	8188	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	工商管理类（会计学院）（120203.会计学+120203.会计学(注册会计师方向)+120204.财务管理）（首义校区）	617	11972	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	金融学类（020301.金融学+020302.金融工程+020304.投资学）（首义校区）	616	12453	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	经济学类（020101.经济学+020109.数字经济）（首义校区）	611	15055	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	法学类（030101.法学+030101.法学(民商法方向)+030101.法学(涉外法治方向)+030101.法学(政府法治方向)+030101.法学(刑事司法方向)+030102.知识产权）（南湖校区）	611	15055	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	财政学类（020201.财政学+020202.税收学）（首义校区）	609	16235	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	金融学类（保险精算）（020303.保险学+020308.精算学）（首义校区）	609	16235	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	经济与贸易类（020401.国际经济与贸易+020402.贸易经济）（首义校区）	607	17472	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	法语（首义校区）（英语+法语）	606	18092	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	统计学类（071201.统计学+071202.应用统计学+080910.数据科学与大数据技术+020102.经济统计学）（首义校区）	606	18092	437
2022	广东	中南财经政法大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	金融数学（首义校区）	605	18724	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	工商管理类（120201.工商管理+120202.市场营销+120206.人力资源管理+120601.物流管理+120801.电子商务+120201.工商管理(商务分析方向)）（首义校区）	604	19372	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	新闻传播学类（050301.新闻学+050302.广播电视学+050306.网络与新媒体）（南湖校区）	604	19372	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	公共管理类（120401.公共事业管理+120402.行政管理+120403.劳动与社会保障+120405.城市管理）（首义校区）	603	20040	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	哲学（南湖校区）	603	20040	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	环境工程（首义校区）	602	20686	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	计算机类（080901.计算机科学与技术+080904.信息安全+120102.信息管理与信息系统+120108.大数据管理与应用+080717.人工智能）（首义校区）	602	20686	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	旅游管理（首义校区）	602	20686	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	管理科学与工程类（120103.工程管理+120104.房地产开发与管理+120105.工程造价）（首义校区）	602	20686	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	国际商务（首义校区）	602	20686	437
2022	广东	中南财经政法大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	外国语言文学类（050201.英语+050201.英语(翻译方向)+050262.商务英语）（首义校区）（英语）	600	22072	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	日语（首义校区）（英语+日语）	599	22773	437
2022	广东	中南财经政法大学	本科批	首选物理，再选不限	俄语（首义校区）（英语+俄语）	599	22773	437
2022	广东	湖南文理学院	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	湖南文理学院	本科批	首选物理，再选不限	自动化	519	114059	437
2022	广东	湖南文理学院	本科批	首选物理，再选不限	土木工程	514	121608	437
2022	广东	湖南文理学院	本科批	首选物理，再选化学/生物(2选1)	动物科学	509	129220	437
2022	广东	湖南文理学院	本科批	首选物理，再选化学	医学检验技术	508	130750	437
2022	广东	湖南文理学院	本科批	首选物理，再选化学/生物(2选1)	水产养殖学	508	130750	437
2022	广东	湖南文理学院	本科批	首选物理，再选化学/生物(2选1)	食品科学与工程	508	130750	437
2022	广东		本科批	首选物理，再选化学	制药工程	507	132322	437
2022	广东	怀化学院	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	怀化学院	本科批	首选物理，再选不限	数学与应用数学	518	116901	437
2022	广东	怀化学院	本科批	首选物理，再选不限	电气工程及其自动化	511	126752	437
2022	广东	怀化学院	本科批	首选物理，再选不限	制药工程	503	138327	437
2022	广东		本科批	首选物理，再选化学/生物(2选1)	生物制药	502	139831	437
2022	广东	华中农业大学	录取批次	选科要求	专业名称	最低分	最低位次	437
2022	广东	华中农业大学	本科批	首选物理，再选化学/生物(2选1)	园艺（国家卓越农林人才计划）	611	15055	437
